,Epoch,PSNR,MSE,SSIM,Losses
0,0,28.829196339695276,85.27204470756728,0.2814646349105087,"[0.0019173549953848124, 0.7264685034751892, 0.6905223727226257, 6.534817695617676, 0.3272079527378082]"
1,1,29.13387490894915,79.45981582005818,0.3230325348174832,"[0.0002840915694832802, 0.7627561092376709, 0.7178191542625427, 8.326327323913574, 0.33053356409072876]"
2,2,28.105968806451774,100.60994173318912,0.3298199251825063,"[0.0002727983519434929, 0.6932973861694336, 0.6472625136375427, 8.414814949035645, 0.3960789740085602]"
3,3,28.38462572361732,94.3661257609343,0.377771263515902,"[0.00018455134704709053, 0.6457412242889404, 0.5980494618415833, 8.870203971862793, 0.3340732157230377]"
4,4,28.914815601668554,83.52046575301732,0.39014665178255936,"[0.0002528695040382445, 0.6052846908569336, 0.5591425895690918, 8.693855285644531, 0.26728230714797974]"
5,5,28.426594432946978,93.47757468468104,0.3794184148146134,"[6.041517190169543e-05, 0.650314211845398, 0.5977197885513306, 9.89270305633545, 0.31308868527412415]"
6,6,28.70343197298522,87.720049008345,0.4212753870256964,"[0.00042098003905266523, 0.5637099146842957, 0.5191473364830017, 8.334083557128906, 0.28921350836753845]"
7,7,28.62123938677706,89.37618520932321,0.4593999882595038,"[0.00032137782545760274, 0.5849247574806213, 0.5395881533622742, 8.509376525878906, 0.278976172208786]"
8,8,29.01162835740481,81.6964641595498,0.48690463441543996,"[0.0004790531820617616, 0.5154834389686584, 0.4718073010444641, 8.23495864868164, 0.2501353323459625]"
9,9,29.667848176425082,70.30891196544353,0.5177355898354613,"[0.00027029833290725946, 0.5539265275001526, 0.5082601308822632, 8.689894676208496, 0.22169451415538788]"
10,10,29.402591342930045,74.66622281074524,0.4324020738962035,"[0.0001251460489584133, 0.5753405094146729, 0.5248019099235535, 9.614165306091309, 0.24677373468875885]"
11,11,30.896556894759893,53.06076961297255,0.5512400525537802,"[0.00023415977193508297, 0.5140352845191956, 0.46744686365127563, 8.90455150604248, 0.20656456053256989]"
12,12,29.819827148599494,67.84712606209975,0.5077887462405604,"[0.00014603548333980143, 0.5832458734512329, 0.5326142311096191, 9.650959968566895, 0.23768378794193268]"
13,13,30.14844937297622,62.90527800413278,0.5333211190776325,"[2.603396205813624e-05, 0.5646494626998901, 0.5069215893745422, 11.119845390319824, 0.2128683477640152]"
14,14,29.637600683299702,70.7426718198336,0.5167373751276577,"[3.995032966486178e-05, 0.5285281538963318, 0.4730044901371002, 10.651351928710938, 0.2266913503408432]"
15,15,30.308546616403973,60.71123817639474,0.5698083742958521,"[2.264135400764644e-05, 0.5350751280784607, 0.4767155349254608, 11.248306274414062, 0.21180732548236847]"
16,16,30.370654716516892,59.77366858873612,0.5432500295885314,"[2.3896100174169987e-05, 0.5078343152999878, 0.44988760352134705, 11.17839241027832, 0.2054746150970459]"
17,17,30.813387980727818,54.00693140274439,0.5658981825649881,"[7.829256355762482e-05, 0.5166023969650269, 0.46316295862197876, 10.304481506347656, 0.19170323014259338]"
18,18,30.50133938838529,58.05852745740841,0.5807703795156507,"[2.2947493562242016e-05, 0.5434930920600891, 0.484969824552536, 11.29272747039795, 0.20596390962600708]"
19,19,30.442644823815836,58.83044055180672,0.5832652343674818,"[3.6063880543224514e-05, 0.5187174677848816, 0.46184149384498596, 10.957330703735352, 0.20893093943595886]"
20,20,30.505566687998602,57.99179030076051,0.5744213970209344,"[3.900519004673697e-05, 0.49096664786338806, 0.4356098771095276, 10.691573143005371, 0.1898905634880066]"
21,21,31.37881885149028,47.50073467156827,0.6399050065298699,"[1.866537786554545e-05, 0.47450000047683716, 0.415697306394577, 11.389154434204102, 0.18569208681583405]"
22,22,30.891036225938077,53.09423696077787,0.6103249242464055,"[8.106882160063833e-05, 0.48120540380477905, 0.42909741401672363, 10.031338691711426, 0.19513194262981415]"
23,23,30.13334320304819,63.210682214834755,0.5663164676965975,"[0.004702261183410883, 0.44968295097351074, 0.41656169295310974, 6.213151931762695, 0.20554950833320618]"
24,24,30.472410775353428,58.43658504119286,0.5743241312436923,"[0.000840764376334846, 0.47824183106422424, 0.43435221910476685, 8.377687454223633, 0.20011623203754425]"
25,25,31.244907481265336,49.01491420085613,0.6276870763441059,"[0.0009058997384272516, 0.4918985068798065, 0.4502653181552887, 7.962491035461426, 0.18207310140132904]"
26,26,31.353124868986296,47.84110576678544,0.6081534640074148,"[0.0008718330645933747, 0.5185692310333252, 0.4728942811489105, 8.78033447265625, 0.1773274838924408]"
27,27,30.458016759808757,58.84048289519091,0.5855551432958901,"[0.0009226936963386834, 0.5220511555671692, 0.47838088870048523, 8.344676971435547, 0.1946876347064972]"
28,28,32.337746986139436,38.36071861095918,0.7539405960965581,"[0.0013240505941212177, 0.5239951610565186, 0.4835008680820465, 7.783017635345459, 0.15792091190814972]"
29,29,31.943323798674466,41.72266729061419,0.675180237949118,"[0.00544776814058423, 0.5137253403663635, 0.48299023509025574, 5.801206111907959, 0.1729096621274948]"
30,30,31.741320627168328,43.79831623419738,0.6119919275137461,"[0.0016869010869413614, 0.5054875612258911, 0.46678003668785095, 7.419921875, 0.1607923060655594]"
31,31,32.83399170696423,34.11502122879029,0.7411252073499621,"[0.002673403127118945, 0.5447180271148682, 0.5088338851928711, 6.836938381195068, 0.1699466109275818]"
32,32,31.749298149598022,43.772933049079704,0.6915847233035795,"[0.0005052101332694292, 0.534157931804657, 0.478502094745636, 10.780003547668457, 0.17558076977729797]"
33,33,33.57183006094189,28.79543359463031,0.7914677041156637,"[0.002155889756977558, 0.5593678951263428, 0.5184074640274048, 7.859505653381348, 0.16629087924957275]"
34,34,32.61129647580605,35.928538432488075,0.7547129451032328,"[6.164856313262135e-05, 0.551805317401886, 0.49466243386268616, 11.104097366333008, 0.16223618388175964]"
35,35,32.73241199322475,34.838081145897895,0.7372897757635712,"[0.0017337152967229486, 0.5090219378471375, 0.4699110686779022, 7.499375820159912, 0.16139762103557587]"
36,36,31.28928083376606,48.52714399191049,0.6858083531323226,"[0.0025130826979875565, 0.5120652914047241, 0.47273340821266174, 7.525118350982666, 0.17062951624393463]"
37,37,32.25107962363454,38.9357340274713,0.7283058469174624,"[0.014482827857136726, 0.5138559937477112, 0.47956982254981995, 6.504083156585693, 0.17657606303691864]"
38,38,30.978081495977627,52.13434683359586,0.6808645533454013,"[0.16178807616233826, 0.5078311562538147, 0.4918782413005829, 2.8608078956604004, 0.16489270329475403]"
39,39,31.383646319752625,47.53760879467696,0.7324903334263326,"[0.009399477392435074, 0.55889892578125, 0.5227192044258118, 6.808199405670166, 0.21387110650539398]"
40,40,31.543741379492836,46.08435322076847,0.7166086163833234,"[0.004326760768890381, 0.5612931251525879, 0.5233376026153564, 7.2281341552734375, 0.18148165941238403]"
